,name,rating,reviews,type,hq,old,employees
9796,South India Krishna Oil ...,4.4,27 Reviews,Private,Delhi + 2 more,,
9797,SasMos HET Technologies,3.5,27 Reviews,Private,Bangalore,201-500 employees,
9798,Paushak,4.0,27 Reviews,Public,Vadodara + 2 more,,
9799,Shri Ram Autotech,3.3,27 Reviews,Vyara + 1 more,,,
9800,Dtss,4.2,27 Reviews,Hyderabad + 7 more,,,
9801,Udaan Technologies,3.6,27 Reviews,New Delhi + 10 more,,,
9802,GKNM Hospital,4.2,27 Reviews,Mangaluru,,,
9803,East African (I) Oversea...,3.6,27 Reviews,Private,New Delhi + 2 more,201-500 employees,
9804,TTi Global,2.9,27 Reviews,Private,Rochester + 6 more,44 years old,1001-5000 employees
9805,Kiran Gems,3.8,27 Reviews,Private,Mumbai + 1 more,501-1000 employees,
9806,Universal Voltas LLC,3.8,27 Reviews,Private,Abu Dhabi + 2 more,501-1000 employees,
9807,Boxco Logistics India,4.1,27 Reviews,Private,New Delhi + 7 more,7 years old,5001-10000 employees
9808,Randox Laboratories,3.7,27 Reviews,Bengaluru + 5 more,,,
9809,Datt Mediproducts,3.6,27 Reviews,Private,New Delhi + 6 more,51-200 employees,
9810,Sheladia Associates,4.6,27 Reviews,Private,Rockville + 8 more,51-200 employees,
9811,New Era India,3.5,27 Reviews,Private,New Delhi + 3 more,1-50 employees,
9812,AARGEE STAFFING SERVICES,3.3,27 Reviews,Chennai + 6 more,,,
9813,MES MEDICAL COLLEGE,4.1,27 Reviews,Bhopal + 2 more,,,
9814,VaaaN Infra,3.8,27 Reviews,Private,New Delhi + 4 more,201-500 employees,
9815,GENWORKS Health,3.4,27 Reviews,Chennai + 8 more,6 years old,,
9816,Bodycare International,4.2,27 Reviews,Private,Delhi + 7 more,,
9817,Parsons Nutritionals,4.2,27 Reviews,Private,Delhi + 2 more,,
9818,Vinformax Systems,2.8,27 Reviews,Private,London + 1 more,201-500 employees,
9819,Nagar Nigam Korba,4.2,27 Reviews,Jaipur + 15 more,,,
9820,APSPDCL,4.4,27 Reviews,Private,Tirupati + 7 more,10000+ employees,
9821,Alvas Education Foundati...,3.8,27 Reviews,Vijayapura + 1 more,,,
9822,Karnataka Soaps & Deterg...,4.2,27 Reviews,Private,Bangalore + 9 more,1001-5000 employees,
9823,BeWo Technologies,3.1,27 Reviews,Private,Mumbai + 4 more,35 years old,1-50 employees
9824,Localcube Commerce,3.4,27 Reviews,Private,Bangalore + 3 more,8 years old,
9825,Centuary Fibre Plates,4.1,27 Reviews,Private,Visakhapatnam + 5 more,,
9826,Arth Design Build,4.2,27 Reviews,Private,Hyderabad,51-200 employees,
9827,Edocs Solutions,2.6,27 Reviews,Private,Madison,1-50 employees,
9828,Tamil Nadu State Transpo...,4.4,27 Reviews,Private,"Vellore,India + 10 more",1001-5000 employees,
9829,Cotton Blossom,3.7,27 Reviews,Private,Ranchi + 3 more,1001-5000 employees,
9830,Mewar University,3.2,27 Reviews,Gangrar + 5 more,,,
9831,Dit University,3.3,27 Reviews,Private,Dehra DÅ«n + 1 more,201-500 employees,
9832,Samtel Avionics,3.1,27 Reviews,Wadgaon + 2 more,,,
9833,Jai Research Foundation,3.9,27 Reviews,Vapi + 1 more,,,
9834,J R Construction,4.0,27 Reviews,Ahmedabad + 9 more,,,
9835,Steelcase Asia Pacific H...,3.6,27 Reviews,Grand Rapids + 4 more,,,
9836,BHARAT TECHNO PLAST,3.8,27 Reviews,Mumbai + 3 more,,,
