,urls
100,https://www.quikr.com/electronics-appliances/hp-elitebook-8440p-i5-processor-2nd-generation-4gb-ram-500-hdd-hp-hewlett-packard-laptop-gently-used-16500-hp-hewlett-packard-individual+bangalore+W0QQAdIdZ338921970
101,https://www.quikr.com/electronics-appliances/dell-vostro-3480-3-months-old-9-months-warranty-laptop-for-sale-brand-new-25100-individual-4gb-14-to-14.9+hyderabad+W0QQAdIdZ338858321
102,https://www.quikr.com/electronics-appliances/dell-e5440-corporate-refurbished-laptop-core-i5-4th-generation-with-1yr-on-site-warranty-almost-like-new-15000-individual-4gb-14-to-14.9+delhi+W0QQAdIdZ338913643
103,https://www.quikr.com/electronics-appliances/refurbished-lenovo-ideapad-s110-2gb-160gb-10.1-inch-laptop-almost-like-new-5999-verified-seller-dealer-below-12+delhi+W0QQAdIdZ338096169
104,https://www.quikr.com/electronics-appliances/dell-inspiron-15-7567-16gb-256gb-1tb-gtx1050ti-laptop-almost-like-new-70000-individual-more-than-8gb-15-to-15.9+bangalore+W0QQAdIdZ338897458
105,https://www.quikr.com/electronics-appliances/iball-mini-laptop-with-wireless-mouse+kolkata+W0QQAdIdZ338615709
106,https://www.quikr.com/electronics-appliances/sony-vaio-model-pcg-5k2l-laptop-heavily-used-4500-individual-4gb-14-to-14.9+bangalore+W0QQAdIdZ338889883
107,https://www.quikr.com/electronics-appliances/tripod-for-dslr-mobile-330a-tripod-brand-new-laptop-brand-new-1299-tripod-brand-new-verified-seller-dealer+pune+W0QQAdIdZ338568025
108,https://www.quikr.com/electronics-appliances/asus-6th-gen-i3-laptop+mumbai+W0QQAdIdZ338646455
109,https://www.quikr.com/electronics-appliances/acer-predator-helios-300-gaming-laptop+ranchi+W0QQAdIdZ338671006
110,https://www.quikr.com/electronics-appliances/lenovo-ideapad-330s-i3-7th-gen-8gb-1tb-2gb-graphics-laptop-gently-used-29990-individual-15-to-15.9+pune+W0QQAdIdZ338921780
111,https://www.quikr.com/electronics-appliances/laptops-motherboards-for-dell-lenovo-and-hp-brands-available.-all-parts-available-at-best-pricing-brand-new-5500-verified-seller-dealer-4gb-14-to-14.9+hyderabad+W0QQAdIdZ338448480
112,https://www.quikr.com/electronics-appliances/professional-sleek-laptop+bangalore+W0QQAdIdZ338896519
113,https://www.quikr.com/electronics-appliances/laptop-for-sale-dell+pune+W0QQAdIdZ338633927
114,https://www.quikr.com/electronics-appliances/battary-problam-dell-laptop-gently-used-10000-dell-individual+delhi+W0QQAdIdZ338751752
115,https://www.quikr.com/electronics-appliances/lenovo-thinkpad-t440-i5-4th-generation-8gbram-500gb-hdd-laptop-almost-like-new-22000-dealer+bangalore+W0QQAdIdZ338887639
116,https://www.quikr.com/electronics-appliances/x220-4-gb-ram-hard-disk-300-intel-i5-core-lenovo-laptop-heavily-used-10000-lenovo-individual-4gb-12-to-12.9+bangalore+W0QQAdIdZ338804154
117,https://www.quikr.com/electronics-appliances/acer-aspire-3-laptop-in-excellent-condition-with-windows-10-almost-like-new-12000-individual-2gb-15-to-15.9+delhi+W0QQAdIdZ338890053
118,https://www.quikr.com/electronics-appliances/apple-macbook-pro-mbp-13-inch-touchbar-brand-new-warranty-2020-laptop-95500-individual-8gb-13-to-13.9+mumbai+W0QQAdIdZ338587140
119,https://www.quikr.com/electronics-appliances/call-on-8595610790-for-dell-143000-core-i3-7th-generation-4gb-ram-1tb-hdd-laptop-brand-new-21000-verified-seller-dealer+chennai+W0QQAdIdZ338854303
120,https://www.quikr.com/electronics-appliances/call-9035800222-we-buy-smarttv-macbook-pro-air-retina-for-good-price+bangalore+W0QQAdIdZ304164707
121,https://www.quikr.com/electronics-appliances/inspiron-14-i3-8gb-ram-500gb-hdd-with-windows-10-dell-laptop-gently-used-20000-dell-individual+bangalore+W0QQAdIdZ338913558
122,https://www.quikr.com/electronics-appliances/samsung-rv509-notebook-laptop-gently-used-11500-individual-4gb-15-to-15.9+delhi+W0QQAdIdZ338915343
123,https://www.quikr.com/electronics-appliances/sell-mac-book-pro-13-inch-mid-2010-apple-laptop-gently-used-25000-apple-individual-8gb-13-to-13.9+mumbai+W0QQAdIdZ338829324
124,https://www.quikr.com/electronics-appliances/call-9035800222-we-buy-smarttv-macbook-pro-air-retina-for-good-price+bangalore+W0QQAdIdZ304164706
125,https://www.quikr.com/electronics-appliances/goood-condition-laptop-i5-8gb-ram-500gb-harddisk-15.6-inch-screen.-very-rarely-used.-lenovo-gently-used-23000-lenovo-individual-15-to-15.9+pune+W0QQAdIdZ338738247
126,https://www.quikr.com/electronics-appliances/dell-inspiron-touch-screen-2-in-1-laptop-for-sale+bangalore+W0QQAdIdZ338644960
127,https://www.quikr.com/electronics-appliances/lenovo-g50-30-15.6-inches-laptop-pqc-n3540-4gb-500gb-integrated-graphics-dos-black-in-colour-intel-pentium-chip-2.16ghz-expandable-up-to-16gb-dvd-drive-battery-life-up-to-more-than-4-hours-or-gently-used-15000-individual+mumbai+W0QQAdIdZ338686734
128,https://www.quikr.com/electronics-appliances/call-on-8595610790-for-lenevo-ideapad-130-core-i3-7th-generation-4gb-ram-1tb-hdd-lenovo-laptop-brand-new-23000-lenovo-verified-seller-dealer+bangalore+W0QQAdIdZ338821970
129,https://www.quikr.com/electronics-appliances/dell-latitude-laptop-e5420-almost-like-new-9500-individual-4gb+delhi+W0QQAdIdZ338908193
130,https://www.quikr.com/electronics-appliances/dell-e5440-corporate-refurbished-laptop-core-i5-4th-generation-with-1yr-on-site-warranty-almost-like-new-15000-individual-4gb-14-to-14.9+delhi+W0QQAdIdZ338913745
131,https://www.quikr.com/electronics-appliances/band-new-condition-macbook-pro-13-inch-256gb-apple-laptop-brand-new-90000-apple-individual-8gb-13-to-13.9+bangalore+W0QQAdIdZ338864193
132,https://www.quikr.com/electronics-appliances/hp-elitebook840g2-hp-hewlett-packard-laptop-gently-used-26000-hp-hewlett-packard-dealer-4gb-14-to-14.9+delhi+W0QQAdIdZ338814259
133,https://www.quikr.com/electronics-appliances/lenovo-x240-laptop-core-i5-4gb-128-gb-ssd-2-hour-backup+pune+W0QQAdIdZ338764613
134,https://www.quikr.com/electronics-appliances/old-working-laptop-with-bag+bangalore+W0QQAdIdZ338906821
135,https://www.quikr.com/electronics-appliances/apple-macbook-pro-13in-i5-4th-gen-laptop-almost-like-new-27000-individual-4gb-13-to-13.9+delhi+W0QQAdIdZ338908178
136,https://www.quikr.com/electronics-appliances/9393150159-i-mac-all-in-one-desktop-core-i3-8gb-ram-500gb-hdd-21-screen-yosomite-os-neat-condition-apple-laptop-almost-like-new-25000-apple-verified-seller-dealer+hyderabad+W0QQAdIdZ338633417
137,https://www.quikr.com/electronics-appliances/excellent-working-condition-laptop-i3-dell-inspiron-n5010-for-sale+hyderabad+W0QQAdIdZ338594806
138,https://www.quikr.com/electronics-appliances/dell-inspiron-1520-laptop-like-new+pune+W0QQAdIdZ338492269
139,https://www.quikr.com/electronics-appliances/excellent-laptop-hardly-used-available-for-sale-lenovo-almost-like-new-22500-lenovo-individual+ahmedabad+W0QQAdIdZ338835614
140,https://www.quikr.com/electronics-appliances/refurbished-dell-latitude-e6230-12.5-core-i5-3rd-gen-4-gb-ram-320-gb-laptop-almost-like-new-11499-verified-seller-dealer-4gb-12-to-12.9+delhi+W0QQAdIdZ338096343
141,https://www.quikr.com/electronics-appliances/processor-core-2-duoram-3gb-hdd-160-gb-origanal-adaptor-cd-drive-good-sound-wifi-hp-hewlett-packard-laptop-gently-used-8500-hp-hewlett-packard-individual+delhi+W0QQAdIdZ338912251
142,https://www.quikr.com/electronics-appliances/sony-vaio-i5-laptop+delhi+W0QQAdIdZ338829727
143,https://www.quikr.com/electronics-appliances/hp-pavillion-x360-i3-8-gen-bought-on-sep2018.reason-for-selling-not-using-much-hp-hewlett-packard-laptop-gently-used-40000-hp-hewlett-packard-individual+bangalore+W0QQAdIdZ338872026
144,https://www.quikr.com/electronics-appliances/model-7450-i7-8gb-256-ssd-14-dell-laptop-almost-like-new-27250-dell-verified-seller-dealer+delhi+W0QQAdIdZ338651120
145,https://www.quikr.com/electronics-appliances/get-your-bumper-today-claim-your-huge-profit-without-any-investment-dell-laptop-brand-new-10000-dell-dealer+coimbatore+W0QQAdIdZ338513000
146,https://www.quikr.com/electronics-appliances/i-want-to-sale-my-acer-predator-helios-300-laptop-almost-like-new-52000-individual-8gb-below-12+delhi+W0QQAdIdZ338493126
147,https://www.quikr.com/electronics-appliances/lenovo-school-laptop-with-zebronics-mouse-and-laptop-charger-gently-used-10000-individual+chennai+W0QQAdIdZ338703634
148,https://www.quikr.com/electronics-appliances/dell-laptop-gently-used-23500-dell-individual-4gb-14-to-14.9+delhi+W0QQAdIdZ338889707
149,https://www.quikr.com/electronics-appliances/apple-macbook-pro-4gb-500gb-core-2-duo-13-refurbished-brand-new-condition-with-bill-3-months-warranty.-laptop-almost-like-new-15999-verified-seller-dealer-13-to-13.9+delhi+W0QQAdIdZ338032372
150,https://www.quikr.com/electronics-appliances/lenovo-ideapad-330-os-amd-ryzen-3-1tb-hardisk-4gb-ram-windows-home-10-amd-graphics-lenovo-laptop-brand-new-20000-lenovo-individual+bangalore+W0QQAdIdZ338850686
